,kms_driven,owner,mileage,power,brand,engine,age,city,city_tier,price
5662,13268.0,1,32.0,24.5,Royal,410,6,Gurgaon,3,100000.0
5663,,1,45.0,13.0,Yamaha,150,8,Dibrugarh,3,45000.0
5664,9000.0,1,15.0,96.0,Triumph,1200,6,Bangalore,1,1050000.0
5665,,1,,34.5,Bajaj,,4,Mumbai,1,155625.0
5666,,1,40.0,20.7,TVS,,5,Nashik,3,67000.0
5667,15000.0,1,15.0,139.0,Kawasaki,,8,Bangalore,1,1000000.0
5668,,1,37.0,19.8,Royal,350,5,Faridabad,2,95000.0
5669,3.0,1,15.0,197.0,Yamaha,1000,3,Mumbai,1,900000.0
5670,26886.0,1,81.0,8.2,Hero,100,11,Gurgaon,3,17000.0
5671,20000.0,1,,16.1,TVS,,4,Hyderabad,1,77000.0
5672,,1,60.0,15.2,TVS,160,3,Etawah,3,85000.0
5673,14000.0,1,17.0,,Harley-Davidson,,10,Bangalore,1,750000.0
5674,27000.0,1,20.0,47.0,Harley-Davidson,,7,Bangalore,1,389100.0
5675,8100.0,1,20.0,47.0,Harley-Davidson,,7,Bangalore,1,389100.0
5676,70000.0,2,,,Hero,100,11,Jodhpur,2,21000.0
5677,19829.0,1,32.0,24.5,Royal,410,5,Noida,3,105000.0
5678,,1,40.0,20.23,TVS,,4,Mumbai,1,985625.0
5679,,1,35.0,24.5,Bajaj,,4,Mumbai,1,136000.0
5680,,1,80.0,7.7,Bajaj,100,9,Delhi,1,24735.0
5681,5500.0,1,16.0,74.0,Hyosung,,9,Ahmednagar,3,325000.0
5682,26000.0,1,65.0,7.0,Hero,100,11,Bangalore,1,20000.0
5683,11000.0,1,25.0,37.73,Benelli,,5,Bhubaneshwar,3,260000.0
5684,,1,38.0,18.28,Honda,150,7,Allahabad,3,65000.0
5685,,1,65.0,14.85,Bajaj,150,9,Delhi,1,22000.0
5686,,1,45.0,13.0,Yamaha,150,9,Lucknow,2,22800.0
5687,,1,35.0,24.5,Bajaj,,3,Bhopal,2,115000.0
5688,7000.0,1,65.0,15.0,Bajaj,180,12,Jaipur,2,19600.0
5689,,1,70.0,,Bajaj,,6,Mumbai,1,37000.0
5690,10000.0,1,,94.0,Triumph,,7,Delhi,1,750000.0
5691,7285.0,1,,8.6,Bajaj,110,4,Faridabad,2,35000.0
5692,13478.0,1,,8.6,Bajaj,110,4,Faridabad,2,33000.0
5693,12500.0,1,42.0,16.7,Yamaha,150,7,Kolkata,1,75000.0
5694,1200.0,1,20.4,,Harley-Davidson,,4,Bangalore,1,1025000.0
5695,19000.0,1,40.0,19.8,Royal,350,7,Betul,3,99000.0
5696,12000.0,2,25.0,26.1,Royal,500,7,Jabalpur,2,115000.0
5697,,2,65.0,10.0,Honda,125,6,Gurgaon,3,39200.0
5698,,1,65.0,14.85,Bajaj,150,7,Bangalore,1,60000.0
5699,,1,84.0,8.25,Honda,110,10,Udaipur,3,38000.0
5700,23800.0,1,38.0,18.28,Honda,150,8,Jammu,2,75500.0
5701,700.0,1,,14.6,Suzuki,150,4,Meerut,2,125000.0
5702,13000.0,1,40.0,19.8,Royal,350,9,Mumbai,1,89000.0
5703,22800.0,1,40.0,19.8,Royal,350,6,Chennai,1,112100.0
5704,,1,65.0,14.85,Bajaj,150,9,Jaipur,2,32400.0
5705,,1,38.0,18.28,Honda,150,6,Bilaspur,2,75000.0
5706,6500.0,1,63.0,14.0,Suzuki,150,7,Virar,3,43800.0
5707,28000.0,1,42.0,16.0,Yamaha,150,6,Ludhiana,2,90500.0
5708,,2,35.0,23.19,Bajaj,,9,Howrah,3,46000.0
5709,7000.0,1,45.0,14.3,Bajaj,,5,Karim nagar,3,70400.0
5710,41000.0,1,38.0,21.0,Bajaj,,8,Delhi,1,61000.0
5711,,3,35.0,24.5,Bajaj,,6,Anand,3,85000.0
5712,10000.0,1,57.0,11.8,Bajaj,150,6,Pune,1,49100.0
5713,20000.0,1,40.0,19.0,Bajaj,220,8,Hyderabad,1,58000.0
5714,2000.0,1,,8.6,Bajaj,110,4,Pune,1,55000.0
5715,2100.0,1,25.0,39.0,Kawasaki,300,6,Bijapur,3,276000.0
5716,7400.0,1,20.0,47.0,Harley-Davidson,,8,Mumbai,1,355000.0
5717,21000.0,2,20.0,47.0,Harley-Davidson,,8,Gurgaon,3,350000.0
5718,411.0,1,25.0,37.73,Benelli,,5,Kolkata,1,295000.0
5719,16150.0,2,20.0,72.68,Hyosung,,9,Dadra & nagar haveli,3,230000.0
5720,1200.0,1,20.0,47.0,Harley-Davidson,,7,Delhi,1,430000.0
5721,12000.0,1,20.0,47.0,Harley-Davidson,,8,Delhi,1,317565.0
5722,5000.0,1,25.0,37.73,Benelli,,5,Delhi,1,275000.0
5723,4500.0,1,20.0,47.0,Harley-Davidson,,8,Gurgaon,3,325000.0
5724,11789.0,1,20.0,47.0,Harley-Davidson,,5,Gurgaon,3,425000.0
5725,1100.0,1,20.0,47.0,Harley-Davidson,,8,Dehradun,3,390000.0
5726,4800.0,2,20.0,47.0,Harley-Davidson,,8,Pune,1,310000.0
5727,300.0,1,,33.0,BMW,,2,Mumbai,1,300000.0
5728,10700.0,1,25.0,37.73,Benelli,,3,Hyderabad,1,280000.0
5729,13000.0,1,,96.6,Triumph,1700,7,Noida,3,900000.0
5730,29000.0,1,25.0,26.1,Royal,500,8,Delhi,1,95000.0
5731,10000.0,1,35.0,25.0,KTM,200,7,Hyderabad,1,140000.0
5732,38425.0,1,65.0,,Bajaj,,9,Delhi,1,25000.0
5733,15000.0,2,35.0,19.8,Royal,350,13,Chennai,1,55000.0
5734,77700.0,1,64.0,13.0,Bajaj,,12,Palanpur,3,15000.0
